SceneNameSaveFile,SceneNameUnityInternal,ID,Value,Mutator,IsSemiPersistent,Category
Aqueduct_08,Aqueduct_08,Geo Rock 1 (1),0,,,GeoRock
Aqueduct_08,Aqueduct_08,Geo Rock 1,0,,,GeoRock
Aqueduct_08,Aqueduct_08,Geo Rock 3,0,,,GeoRock
Aspid_01,Aspid_01,Geo Rock 2,0,,,GeoRock
Bone_01c,Bone_01c,Geo Rock 3,0,,,GeoRock
Bone_01c,Bone_01c,Geo Rock 1 (1),0,,,GeoRock
Bone_04,Bone_04,Geo Rock 3,0,,,GeoRock
Bone_08,Bone_08,Geo Rock 1,0,,,GeoRock
Bone_08,Bone_08,Geo Rock 2,0,,,GeoRock
Bone_14,Bone_14,Geo Rock 1,0,,,GeoRock
Bone_16,Bone_16,Geo Rock 1,0,,,GeoRock
Bone_16,Bone_16,Geo Rock 2 (1),0,,,GeoRock
Bone_16,Bone_16,Geo Rock 2,0,,,GeoRock
Bone_East_08,Bone_East_08,Geo Rock 2,0,,,GeoRock
Bone_East_15,Bone_East_15,Geo Rock 2,0,,,GeoRock
Bone_East_15,Bone_East_15,Geo Rock 1,0,,,GeoRock
Coral_12,Coral_12,Geo Rock Deepnest,0,,,GeoRock
Dust_02,Dust_02,Geo Rock Deepnest,0,,,GeoRock
Dust_10,Dust_10,Geo Rock Deepnest,0,,,GeoRock
Greymoor_01,Greymoor_01,Geo Rock Deepnest,0,,,GeoRock
Greymoor_04,Greymoor_04,Geo Rock Deepnest,0,,,GeoRock
Greymoor_05,Greymoor_05,Geo Rock Deepnest,0,,,GeoRock
Greymoor_06,Greymoor_06,Geo Rock Deepnest,0,,,GeoRock
Greymoor_07,Greymoor_07,Geo Rock Deepnest,0,,,GeoRock
Greymoor_11,Greymoor_11,Geo Rock Deepnest (1),0,,,GeoRock
Greymoor_15,Greymoor_15,Geo Rock 1,0,,,GeoRock
Shadow_05,Shadow_05,Geo Rock Deepnest,0,,,GeoRock
Shadow_14,Shadow_14,Geo Rock 1,0,,,GeoRock
Shadow_19,Shadow_19,Geo Rock 1,0,,,GeoRock
Shadow_19,Shadow_19,Geo Rock 3,0,,,GeoRock
Shadow_20,Shadow_20,Geo Rock 1,0,,,GeoRock
Shadow_20,Shadow_20,Geo Rock 3,0,,,GeoRock
Shellwood_26,Shellwood_26,Geo Rock 3,0,,,GeoRock
Abandoned_town,Abandoned_town,Memory Group,FALSE,None,FALSE,persistentBool
Abandoned_town,Abandoned_town,Collectable Item Pickup,FALSE,None,FALSE,persistentBool
Abandoned_town,Abandoned_town,thread_memory,FALSE,None,FALSE,persistentBool
Abandoned_town,Abandoned_town,Collectable Item Pickup,FALSE,None,FALSE,persistentBool
Abandoned_town,Abandoned_town,Remasker New,FALSE,None,FALSE,persistentBool
Abyss_11,Abyss_02b,Abyss_Collapse_Wall_bot,FALSE,None,FALSE,persistentBool
Abyss_03,Abyss_03,Shaman_Collapse_Wall,FALSE,None,FALSE,persistentBool
Abyss_04,Abyss_04,Abyss Crawler Large,FALSE,None,TRUE,persistentBool
